ID,Type,Zone,Latency,Category,Name,Short description,Extended description,Status,Tradition,Time horizon,Vocabulary,Sensitivity,Facilitator notes
LOC-019,Location,Near Earth,None perceptible,,Orbital Service Depot,A pit stop in orbit for assets that cannot come home.,"In-space servicing is the newest infrastructure layer in the space economy. Who owns the depot, who sets the prices, and what happens when a serviced asset is damaged in the process?",Variant,,Near-term,Mainstream,,Works best with unexpected persona pairings. Strong collision when persona does not belong at the depot.
LOC-020,Location,Near Earth,None perceptible,,Commercial Orbital Station,"A privately owned habitat in orbit, part hotel, part lab, part factory.","Post-ISS commercial operators are building stations for government tenants, researchers and tourists. Multiple owners, multiple customers, one very expensive address.",Variant,,Near-term,Mainstream,,The government anchor-tenant model is the key financial design question. Who pays if the government withdraws?
PER-001,Persona,,,Production,Miners,How do they get paid when no one can check the work?,Output hard to verify in real time. Wages may be deferred until cargo arrives at market.,Core,Mixed,,Novice-friendly,,
PER-002,Persona,,,Production,Farmers,"Control the calories, control the power.",Growers in sealed environments. Their failure is a settlement failure. Their success is leverage.,Core,Mixed,,Novice-friendly,,
PER-003,Persona,,,Production,Technicians,"Most important in an emergency, paid least until then.",Keeping life support and infrastructure running. Compensation lags importance until something breaks.,Core,Mixed,,Novice-friendly,,
PER-004,Persona,,,Production,Scientists,Who owns a discovery made far from any patent office?,Multiple institutional flags often years from filing. IP timing and jurisdiction unresolved.,Core,Mixed,,Mainstream,,
PER-005,Persona,,,Commerce,Merchants,Supply chains stretched across the solar system.,"Margin lives in timing, route choice, and trust at both ends.",Core,Mixed,,Novice-friendly,,
PER-006,Persona,,,Commerce,Smugglers,Working around the rules or their enforcement.,"Where formal systems fail, informal ones emerge.",Core,Mixed,,Mainstream,Flagged,Read awkwardly in compliance-heavy contexts. Substitute Informal Trader if needed.
PER-007,Persona,,,Commerce,Entrepreneurs,Starting ventures far from their investors.,Capital from Earth; oversight impossible. Trust is the binding constraint.,Core,Western finance,,Mainstream,,
PER-008,Persona,,,Commerce,Prospectors,"Gambling on a hunch, a rumour, or a sensor reading.","High risk, high return, often years between attempts.",Core,Mixed,,Mainstream,,
PER-009,Persona,,,Commerce,Brokers,Information as currency.,Trade in price discovery and reputation.,Core,Mixed,,Mainstream,,
PER-010,Persona,,,Services & Labor,Doctors,Life and death far from hospitals.,Evacuation is impossible. Liability and decision authority both unresolved.,Core,Mixed,,Novice-friendly,,
PER-011,Persona,,,Services & Labor,Contractors,"Portable reputation, project to project.","Record travels with them, but verification is slow.",Core,Mixed,,Mainstream,,
PER-012,Persona,,,Services & Labor,Migrant Workers,Sending money home across distance and time.,"Remittance timing, currency and conversion are constant pressures.",Core,Mixed,,Novice-friendly,,Strong for cross-cultural decks.
PER-013,Persona,,,Services & Labor,Ship Crews,Months in transit between economies.,"Paid in different jurisdictions, spending in others, banking somewhere else.",Core,Mixed,,Mainstream,,
PER-014,Persona,,,Capital & Authority,Earth Investors,Cannot visit the investments.,Reporting cadence and information lag are structural.,Core,Western finance,,Mainstream,,
PER-015,Persona,,,Capital & Authority,Bankers,Local trust networks doing what banks do.,"Could be a chartered bank, a cooperative, a hawaladar, an arisan group or a DAO.",Core,Mixed,,Mainstream,,Deliberately ambiguous about banking tradition. Different rooms read this differently. That is the point.
PER-016,Persona,,,Capital & Authority,Heirs,Assets that outlived the people who owned them.,"Inheritors of contracts, claims or shares whose original holders are deceased or unreachable.",Core,Mixed,,Mainstream,,
PER-017,Persona,,,Capital & Authority,Customs Officers,Controlling borders between jurisdictions.,Mirror image of Smugglers.,Core,Public/governance,,Mainstream,,
PER-018,Persona,,,Life Stages,Children,Born in space with a different status than their parents.,"Citizenship, custody and inheritance rights cross multiple legal systems.",Core,Mixed,,Novice-friendly,,Born in space different status alone leaves teams worldbuilding. Give enough situation to start play.
PER-019,Persona,,,Life Stages,Retirees,Pensions far from issuers.,Drawing income from systems paid into decades and millions of kilometers ago.,Core,Western finance,,Novice-friendly,,
PER-020,Persona,,,Life Stages,Tourists,Brief visitors with deep pockets and shallow context.,"Big spenders, weak political constituency.",Core,Mixed,,Novice-friendly,,
PER-021,Persona,,,Capital & Authority,Cooperative Stewards,Trusted holders of shared community resources.,"Administers a rotating savings club, mutual aid pool or community land trust.",Variant,Informal/community,,Mainstream,,Useful in cross-cultural decks.
PER-022,Persona,,,Commerce,Protocol Designers,Architects of programmable financial systems.,"Builders of smart contracts, automated market makers, on-chain identity.",Variant,DeFi,,Expert,,Pairs with DeFi tools. Strong for fintech-fluent rooms.
PER-023,Persona,,,Capital & Authority,Religious Endowments,"Money held in trust forever, spent only on what the founder named.","Waqf, monastery treasuries, temple foundations. Multi-generational capital with non-financial obligations.",Variant,Islamic finance,,Mainstream,,Strong for non-Western and cross-tradition decks.
PER-024,Persona,,,Services & Labor,Servicing Technician,Repairs and refuels assets that belong to someone else.,The technician touches assets worth hundreds of millions under contracts whose liability terms are still being invented. Works wherever equipment exists — from near-Earth depots to probes that have not been visited in decades.,Variant,Mixed,,Mainstream,,Written to work across all locations not just Near Earth. Servicing Technician at a comet claim touching a probe under a contract held by the original operator heirs is more interesting than Servicing Technician at a depot.
PER-025,Persona,,,Services & Labor,Ground Station Operator,Runs the Earth-side link every space asset depends on.,"Whoever controls ground access controls the mission. The pricing and capacity models are evolving, and the leverage is real — even from the surface of a planet.",Variant,Mixed,,Mainstream,,"Earth-side persona that creates productive distance from deep space locations. Strong with Lagrange Stations, Spectrum and Orbital Slots, and Letters of Credit."
PER-026,Persona,,,Commerce,Informal Trader,Working around the rules or their enforcement.,"Where formal systems fail, informal ones emerge. The same card as Smugglers without the criminal framing.",Variant,Mixed,,Mainstream,,"Drop-in replacement for PER-006 Smugglers in compliance-heavy or public-sector rooms. Use one or the other, never both."
TOL-001,Tool,,,Borrowing,Loans,"Funds advanced now, repaid later with interest.",Assumes the lender can find the borrower and enforce repayment. Both break in space.,Core,Western finance,,Novice-friendly,,
TOL-002,Tool,,,Borrowing,Bonds,Borrowing from many lenders over years.,Coupon payments depend on the issuer being reachable.,Core,Western finance,,Mainstream,,
TOL-003,Tool,,,Borrowing,Mortgages,Long-term loan secured by property.,Off-Earth property requires continuous life-support spending.,Core,Western finance,,Mainstream,,
TOL-004,Tool,,,Ownership,Shares,Partial ownership of a company. Voting rights across light-minutes.,Voting cadence assumes shareholders can be informed and respond within reasonable time.,Core,Western finance,,Novice-friendly,,
TOL-005,Tool,,,Ownership,Venture Capital,Money for a new business in exchange for owning part of it.,Founder-investor relationship depends on frequent information exchange.,Core,Western finance,,Mainstream,,
TOL-006,Tool,,,Protection,Insurance,Pooled funds covering specified losses.,Insurance assumes claims can be verified. Neither adjuster nor court scales across distance.,Core,Western finance,,Novice-friendly,,
TOL-007,Tool,,,Protection,Futures,Locking in a price now for delivery later.,Standard maturities are months. Stretching to decades changes the math fundamentally.,Core,Western finance,,Mainstream,,
TOL-008,Tool,,,Protection,Derivatives,A contract whose value rides on the price of something else.,"Pricing depends on observable, verifiable inputs.",Variant,Western finance,,Expert,,Vocabulary-heavy. Use only with finance-fluent audiences.
TOL-009,Tool,,,Transfer,Remittances,Sending money from worker to family across distance.,"Real systems include hawala, OFW corridors and mobile money.",Core,Mixed,,Novice-friendly,,Strong with informal-finance-fluent audiences.
TOL-010,Tool,,,Transfer,Letters of Credit,A bank guarantees payment once conditions are met.,Invented in medieval trade to solve exactly the problem space recreates.,Core,Western finance,,Mainstream,,The Earth precedent for the whole game. Worth foregrounding when teaching.
TOL-011,Tool,,,Transfer,Escrow,Third party holds funds until both sides perform.,Depends on a trusted third party. Who is that in space?,Core,Mixed,,Novice-friendly,,
TOL-012,Tool,,,Transfer,Trade Credit,"Buy now, pay later — extended by the seller, not a bank.",Relies on knowing your counterparty.,Core,Western finance,,Mainstream,,
TOL-013,Tool,,,Time,Savings,Value held now for use later. What interest rate when there is no central bank?,Assumes a stable store of value and a return for waiting.,Core,Mixed,,Novice-friendly,,
TOL-014,Tool,,,Time,Pensions,"Income paid in retirement, funded by contributions over a working life.","Inflation, currency and institutional survival are all open questions across distance.",Core,Western finance,,Novice-friendly,,
TOL-015,Tool,,,Time,Trusts,Assets held by one party for the benefit of another across generations.,Assumes a trustworthy trustee who outlives the grantor.,Core,Western finance,,Mainstream,,
TOL-016,Tool,,,Collective & Access,Crowdfunding,"Many small contributors, one project.",Verification of the project is the binding constraint.,Core,Mixed,,Novice-friendly,,
TOL-017,Tool,,,Collective & Access,Mutual Aid Pools,"Groups covering each other's losses, without an external insurer.","Takaful, friendly societies, rotating savings clubs. Members both fund and claim.",Core,Informal/community,,Mainstream,,Bridges Western and non-Western finance.
TOL-018,Tool,,,Collective & Access,Grants,"Money given without repayment, allocated by a committee.",Who has authority to judge worthiness off-Earth?,Core,Public/governance,,Mainstream,,
TOL-019,Tool,,,Collective & Access,Leasing,Using something without owning it.,Lessor needs some way to reclaim asset if payments stop.,Core,Western finance,,Novice-friendly,,
TOL-020,Tool,,,Collective & Access,Credit Lines,Borrowing you have agreed in advance and use when you need it.,Depends on the issuer's ability to assess and adjust risk.,Core,Western finance,,Mainstream,,
TOL-021,Tool,,,Protection,Parametric Insurance,"Payouts triggered by measurable events, not by claims investigation.",Pays out automatically when a defined trigger fires. Already deployed in space operations.,Variant,Western finance,,Expert,,Strong with finance-fluent and space-industry rooms.
TOL-022,Tool,,,Ownership,Tokenized Equity,Ownership stakes as transferable digital tokens.,"Programmable shares. Can be split, transferred, or made conditional via smart contracts.",Variant,DeFi,,Expert,,
TOL-023,Tool,,,Transfer,Automated Market Makers,Algorithmic exchanges that price and clear trades without an order book.,Removes the need for counterparty matching.,Variant,DeFi,,Expert,,
TOL-024,Tool,,,Time,Profit-Sharing Contracts,Investment that returns a share of profits rather than fixed interest.,Mudaraba and musharaka in Islamic finance. Works where interest is forbidden.,Variant,Islamic finance,,Mainstream,,Bridges Western VC and Islamic finance traditions.
TOL-025,Tool,,,Borrowing,Sukuk,Asset-backed certificates compliant with Islamic finance principles.,Holders own a share of an underlying asset and receive proceeds rather than interest.,Variant,Islamic finance,,Expert,,
TOL-026,Tool,,,Collective & Access,Rotating Savings Clubs,Members contribute regularly; each takes a turn receiving the pot.,"Arisan, hui, susu, tanda — ROSCAs. Works on social trust without formal banking.",Variant,Informal/community,,Novice-friendly,,Important for cross-cultural decks.
TOL-027,Tool,,,Time,Reputation Systems,"Your record of keeping promises, treated as something you own.","Stands in for enforcement when there are no courts. Can be traded, or put at risk to back a promise.",Variant,Mixed,,Mainstream,,
TOL-028,Tool,,,Protection,Prediction Markets,Trading contracts that pay out based on real-world outcomes.,Useful for verification when no central authority can confirm an outcome.,Variant,DeFi,,Expert,,
TOL-029,Tool,,,Collective & Access,Waqf,A permanent endowment whose income funds a public purpose.,The principal is preserved and never spent; only the income is used. Multi-century time horizons. Foundational institution in Islamic finance.,Variant,Islamic finance,,Mainstream,,
TOL-030,Tool,,,Time,Programmable Escrow,Software holds the money and releases it when the conditions are met.,"No third party holds the money. The code does, and the code decides when it moves.",Variant,DeFi,,Expert,,Pairs with Letters of Credit as a comparison point.
TOL-031,Tool,,,Transfer,Auctions,How do you set a price when nothing like it has ever been sold?,How do you price the first asteroid ore at market? English auctions reward patience; Dutch auctions (invented for perishable goods that could not wait) reward speed. Sealed bids handle claims where revealing your valuation is dangerous.,Core,Mixed,,Mainstream,,Dutch auction variant particularly relevant for time-sensitive space cargo. Strong for any combination involving first extraction or novel assets.
TOL-032,Tool,,,Governance,Freeports,Duty-free zones where goods sit outside every surrounding jurisdiction.,"Freeports exist because of jurisdictional arbitrage — the value of being between legal systems rather than inside one. Not a location but a legal and financial structure that can be applied to a location. The question of which jurisdiction rules apply at a Lagrange Station, orbital waypoint or transit hub is exactly the freeport problem.",Core,Mixed,,Mainstream,,Pairs naturally with Earth Spaceports and Lagrange Stations. Also connects to the colonial history — freeports were instruments of extraction logic letting trading companies move goods across jurisdictions without declaring value.
TOL-033,Tool,,,Transfer,Launch Contracts,Buying a slot on a rocket years before it flies at a price negotiated today.,"Long lead times, limited cancellation rights, and a secondary market that did not exist a decade ago. The contract structure invented for expendable rockets is being renegotiated for a reusable world.",Variant,Western finance,,Mainstream,,Pairs naturally with Earth Spaceports and Commercial Orbital Station.
TOL-034,Tool,,,Governance,Spectrum and Orbital Slots,"An invisible, finite claim on a frequency and a position in orbit.","Orbital slots and radio frequencies are allocated by international treaty. They can be held, sub-licensed, and in some cases traded. How do you borrow against an asset you cannot touch that expires if unused, and that a treaty revision could make worthless overnight?",Variant,Public/governance,,Mainstream,,The secondary market for spectrum is real. The question of what backs the value and what could destroy it is the productive collision point.
